s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
8.7791930,5.1142065,0.2249154,4.5907388,0.5413871,0.4586129
8.8789565,5.0172729,0.2036888,4.6783103,0.5209068,0.4790932
8.9787201,4.9199570,0.1855606,4.7759732,0.5004265,0.4995735
9.0784837,4.8212932,0.1699981,4.8760790,0.4799463,0.5200537
9.1782472,4.7221333,0.1568923,4.9737820,0.4594660,0.5405340
9.2780108,4.6228953,0.1460518,5.0692225,0.4389857,0.5610143
9.3777743,4.5235872,0.1372156,5.1625276,0.4275037,0.5724963
9.4775379,4.4242173,0.1301225,5.2538125,0.4160217,0.5839783
9.5773014,4.3247937,0.1245113,5.3431822,0.4045396,0.5954604
9.6770650,4.2253245,0.1201211,5.4307326,0.3930576,0.6069424
9.7768286,4.1257702,0.1166915,5.5165517,0.3815756,0.6184244
9.8765921,4.0261184,0.1140405,5.6007205,0.3700935,0.6299065
9.9763557,3.9264322,0.1120800,5.6833136,0.3586115,0.6413885
10.0761192,3.8267103,0.1107248,5.7644001,0.3500000,0.6500000
10.1758828,3.7269515,0.1098898,5.8440438,0.3500000,0.6500000
10.2756463,3.6271547,0.1094900,5.9223044,0.3500000,0.6500000
10.3754099,3.5273187,0.1094401,5.9992371,0.3500000,0.6500000
10.4751734,3.4274737,0.1096550,6.0748936,0.3500000,0.6500000
10.5749370,3.3278199,0.1100615,6.1493222,0.3500000,0.6500000
10.6747006,3.2281274,0.1106245,6.2225682,0.3500000,0.6500000
10.7744641,3.1283981,0.1113152,6.2946740,0.3500000,0.6500000
10.8742277,3.0286342,0.1121047,6.3656794,0.3525215,0.6474785
10.9739912,2.9288379,0.1129641,6.4356221,0.3575646,0.6424354
11.0737548,2.8290112,0.1138646,6.5045374,0.3626077,0.6373923
11.1735183,2.7291562,0.1147773,6.5724586,0.3676508,0.6323492
11.2732819,2.6293746,0.1156735,6.6394175,0.3726939,0.6273061
11.3730455,2.5296006,0.1165347,6.7054439,0.3777370,0.6222630
11.4728090,2.4298173,0.1173455,6.7705661,0.3827801,0.6172199
11.5725726,2.3300339,0.1180906,6.8348110,0.3878232,0.6121768
11.6723361,2.2302594,0.1187545,6.8982041,0.3859403,0.6140597
11.7720997,2.1305030,0.1193217,6.9607697,0.3817486,0.6182514
11.8718632,2.0307737,0.1197769,7.0225309,0.3775570,0.6224430
11.9716268,1.9310602,0.1201058,7.0835098,0.3733653,0.6266347
12.0713904,1.8313539,0.1203313,7.0299401,0.3691737,0.6308263
12.1711539,1.7316600,0.1205175,6.8459419,0.3649820,0.6350180
12.2709175,1.6319588,0.1207309,6.6617145,0.3607904,0.6392096
12.3706810,1.5322302,0.1210381,6.4769515,0.3565988,0.6434012
12.4704446,1.4324544,0.1215054,6.2910766,0.3557473,0.6442527
12.5702081,1.3326116,0.1221996,6.1034556,0.3548959,0.6451041
12.6699717,1.2327322,0.1231864,5.9150667,0.3540444,0.6459556
