x_m,y_m,width_left_m,width_right_m,vx_mps
-54.3202169,23.0569861,1.4206896,0.7206309,14.709938
-54.3657256,23.1460296,1.416788,0.7274785,14.7164681
-54.4112708,23.2350546,1.4128864,0.7343261,14.722969
-54.4568536,23.3240607,1.4089848,0.7411737,14.7294411
-54.5024749,23.4130473,1.4050832,0.7480213,14.7358844
-54.5481357,23.5020138,1.4011817,0.7548688,14.742299
-54.5938372,23.5909597,1.3972801,0.7617164,14.7486851
-54.6395802,23.6798846,1.3933785,0.768564,14.7550429
-54.6853657,23.7687877,1.3894769,0.7754116,14.7613725
-54.7311947,23.8576684,1.3855753,0.7822592,14.7676739
-54.7770674,23.9465248,1.3815133,0.7846529,14.7739475
-54.8229855,24.035358,1.3774412,0.7867665,14.7801932
-54.8689498,24.1241675,1.373369,0.78888,14.7864112
-54.9149611,24.2129529,1.3692969,0.7909936,14.7926017
-54.9610204,24.3017136,1.3652248,0.7931072,14.7987648
-55.0071285,24.3904491,1.3611527,0.7952208,14.8049007
-55.0532861,24.4791591,1.3570806,0.7973344,14.8110094
-55.0994942,24.567843,1.3530085,0.799448,14.8170911
-55.1457536,24.6565004,1.3489363,0.8015616,14.8231459
-55.1920651,24.7451304,1.3448642,0.8036752,14.829174
-55.2384289,24.833732,1.3384151,0.8065451,14.8351755
-55.2848465,24.9223056,1.3318005,0.8094677,14.8411505
-55.3313185,25.0108508,1.3251858,0.8123902,14.8470991
-55.3778458,25.0993671,1.3185712,0.8153128,14.8530215
-55.424429,25.187854,1.3119566,0.8182354,14.8589178
-55.4710689,25.2763111,1.305342,0.8211579,14.8647882
-55.5177664,25.364738,1.2987274,0.8240805,14.8706326
-55.564522,25.4531341,1.2921127,0.8270031,14.8764514
-55.6113367,25.5414991,1.2854981,0.8299256,14.8822446
-55.658211,25.6298324,1.2788835,0.8328482,14.8880123
-55.7051459,25.7181336,1.2728938,0.8419689,14.8937546
-55.752142,25.8064022,1.2669518,0.8515634,14.8994717
-55.7992001,25.8946377,1.2610098,0.8611578,14.9051637
-55.846321,25.9828396,1.2550679,0.8707523,14.9108308
